key,name,population,cases
E07000099,North Hertfordshire,133214,0
E07000240,St Albans,147373,0
E07000243,Stevenage,87754,0
E07000102,Three Rivers,93045,0
E07000103,Watford,96767,0
E07000241,Welwyn Hatfield,122746,0
E10000020,Norfolk,903680,0
E07000143,Breckland,139329,0
E07000144,Broadland,129464,0
E07000145,Great Yarmouth,99370,0
E07000146,King's Lynn and West Norfolk,151811,0
E07000147,North Norfolk,104552,0
E07000148,Norwich,141137,0
E07000149,South Norfolk,138017,0
E10000029,Suffolk,758556,0
E07000200,Babergh,91401,0
E07000244,East Suffolk,248249,0
E07000202,Ipswich,137532,0
E07000203,Mid Suffolk,102493,0
E07000245,West Suffolk,178881,0
E09000007,Camden,262226,0
E09000001,City of London,8706,0
E09000012,Hackney,279665,0
E09000013,Hammersmith and Fulham,185426,0
E09000014,Haringey,270624,0
E09000019,Islington,239142,0
E09000020,Kensington and Chelsea,156197,0
E09000022,Lambeth,325917,0
E09000023,Lewisham,303536,0
E09000025,Newham,352005,0
E09000028,Southwark,317256,0
E09000030,Tower Hamlets,317705,0
E09000032,Wandsworth,326474,0
E09000033,Westminster,255324,0
E09000002,Barking and Dagenham,211998,0
E09000003,Barnet,392140,0
E09000004,Bexley,247258,0
E09000005,Brent,330795,0
E09000006,Bromley,331096,0
E09000008,Croydon,385346,0
E09000009,Ealing,341982,0
E09000010,Enfield,333869,0
E09000011,Greenwich,286186,0
E09000015,Harrow,250149,0
E09000016,Havering,257810,0
E09000017,Hillingdon,304824,0
E09000018,Hounslow,270782,0
E09000021,Kingston upon Thames,175470,0
E09000024,Merton,206186,0
E09000026,Redbridge,303858,0
E09000027,Richmond upon Thames,196904,0
E09000029,Sutton,204525,0
E09000031,Waltham Forest,276700,0
E06000036,Bracknell Forest,121676,0
E06000043,Brighton and Hove,290395,0
E06000046,Isle of Wight,141538,0
E06000035,Medway,277855,0
E06000042,Milton Keynes,268607,0
E06000044,Portsmouth,215133,0
E06000038,Reading,163203,0
E06000039,Slough,149112,0
E06000045,Southampton,252796,0
E06000037,West Berkshire,158527,0
E06000040,Windsor and Maidenhead,150906,0
E06000041,Wokingham,167979,0
E10000002,Buckinghamshire,540059,0
E07000004,Aylesbury Vale,199448,0
E07000005,Chiltern,95927,0
E07000006,South Bucks,70043,0
E07000007,Wycombe,174641,0
E10000011,East Sussex,554590,0
E07000061,Eastbourne,103160,0
E07000062,Hastings,92855,0
E07000063,Lewes,102744,0
E07000064,Rother,95656,0
E07000065,Wealden,160175,0
E10000014,Hampshire,1376316,0
E07000084,Basingstoke and Deane,175729,0
E07000085,East Hampshire,120681,0
E07000086,Eastleigh,131819,0
E07000087,Fareham,116339,0
E07000088,Gosport,85283,0
E07000089,Hart,96293,0
E07000090,Havant,125813,0
E07000091,New Forest,179753,0
E07000092,Rushmoor,95142,0
E07000093,Test Valley,125169,0
E07000094,Winchester,124295,0
E10000016,Kent,1568623,0
E07000105,Ashford,129281,0
E07000106,Canterbury,164553,0
E07000107,Dartford,109709,0
E07000108,Dover,116969,0
E07000112,Folkestone and Hythe,112578,0
E07000109,Gravesham,106385,0
E07000110,Maidstone,169955,0
E07000111,Sevenoaks,120293,0
E07000113,Swale,148519,0
E07000114,Thanet,141819,0
E07000115,Tonbridge and Malling,130508,0
E07000116,Tunbridge Wells,118054,0
E10000025,Oxfordshire,687524,0
E07000177,Cherwell,149161,0
E07000178,Oxford,154327,0
E07000179,South Oxfordshire,140504,0
E07000180,Vale of White Horse,133732,0
E07000181,West Oxfordshire,109800,0
E10000030,Surrey,1189934,0
E07000207,Elmbridge,136626,0
